,Id,Value,Date
177,Sistema,77280600,2014-03-27
178,Sistema,70026100,2014-03-28
179,Sistema,63229800,2014-03-29
180,Sistema,59487600,2014-03-30
181,Sistema,59446400,2014-03-31
182,Sistema,57369000,2014-04-01
183,Sistema,61384000,2014-04-02
184,Sistema,66032700,2014-04-03
185,Sistema,70191700,2014-04-04
186,Sistema,84798600,2014-04-05
187,Sistema,65077000,2014-04-06
188,Sistema,107901000,2014-04-07
189,Sistema,125918700,2014-04-08
190,Sistema,100895800,2014-04-09
191,Sistema,76677900,2014-04-10
192,Sistema,62038700,2014-04-11
193,Sistema,64845100,2014-04-12
194,Sistema,64144000,2014-04-13
195,Sistema,67979800,2014-04-14
196,Sistema,77356500,2014-04-15
197,Sistema,78656000,2014-04-16
198,Sistema,102748400,2014-04-17
199,Sistema,77071100,2014-04-18
200,Sistema,135172800,2014-04-19
201,Sistema,121907600,2014-04-20
202,Sistema,112322300,2014-04-21
203,Sistema,116194600,2014-04-22
204,Sistema,122473600,2014-04-23
205,Sistema,261231000,2014-04-24
206,Sistema,136708700,2014-04-25
207,Sistema,272950400,2014-04-26
208,Sistema,170822400,2014-04-27
209,Sistema,156261700,2014-04-28
210,Sistema,214199100,2014-04-29
211,Sistema,147495600,2014-04-30
212,Sistema,130606400,2014-05-01
213,Sistema,124148100,2014-05-02
214,Sistema,120864300,2014-05-03
215,Sistema,108432800,2014-05-04
216,Sistema,99166200,2014-05-05
217,Sistema,133482900,2014-05-06
218,Sistema,120926900,2014-05-07
219,Sistema,122918800,2014-05-08
220,Sistema,240963200,2014-05-09
221,Sistema,206183400,2014-05-10
222,Sistema,277162300,2014-05-11
223,Sistema,206725800,2014-05-12
224,Sistema,201207100,2014-05-13
225,Sistema,158142000,2014-05-14
226,Sistema,159757800,2014-05-15
227,Sistema,145058600,2014-05-16
228,Sistema,169542300,2014-05-17
229,Sistema,176809400,2014-05-18
230,Sistema,125596800,2014-05-19
231,Sistema,122327200,2014-05-20
232,Sistema,126503700,2014-05-21
233,Sistema,124780100,2014-05-22
234,Sistema,126805200,2014-05-23
235,Sistema,131448400,2014-05-24
236,Sistema,98528300,2014-05-25
237,Sistema,92739400,2014-05-26
238,Sistema,106735400,2014-05-27
239,Sistema,110363700,2014-05-28
240,Sistema,141169700,2014-05-29
241,Sistema,132678000,2014-05-30
242,Sistema,169962300,2014-05-31
243,Sistema,132627400,2014-06-01
244,Sistema,155542500,2014-06-02
245,Sistema,143742700,2014-06-03
246,Sistema,146372800,2014-06-04
247,Sistema,123449900,2014-06-05
248,Sistema,167767800,2014-06-06
249,Sistema,361607300,2014-06-07
250,Sistema,267990000,2014-06-08
251,Sistema,164342400,2014-06-09
252,Sistema,231228900,2014-06-10
253,Sistema,170137100,2014-06-11
254,Sistema,123284900,2014-06-12
255,Sistema,132308100,2014-06-13
256,Sistema,334948100,2014-06-14
257,Sistema,277932200,2014-06-15
258,Sistema,172650900,2014-06-16
259,Sistema,179313100,2014-06-17
260,Sistema,197638100,2014-06-18
261,Sistema,270479800,2014-06-19
262,Sistema,234896400,2014-06-20
263,Sistema,180299800,2014-06-21
264,Sistema,194777200,2014-06-22
265,Sistema,251179000,2014-06-23
266,Sistema,328425200,2014-06-24
267,Sistema,398212700,2014-06-25
268,Sistema,304803800,2014-06-26
269,Sistema,209085600,2014-06-27
270,Sistema,172803300,2014-06-28
271,Sistema,153225700,2014-06-29
272,Sistema,161934300,2014-06-30
273,Sistema,216575900,2014-07-01
274,Sistema,237436500,2014-07-02
275,Sistema,177461400,2014-07-03
276,Sistema,165312900,2014-07-04
277,Sistema,183686100,2014-07-05
278,Sistema,143898600,2014-07-06
279,Sistema,267748000,2014-07-07
280,Sistema,235571500,2014-07-08
281,Sistema,223144800,2014-07-09
282,Sistema,178390000,2014-07-10
283,Sistema,214540500,2014-07-11
284,Sistema,212839800,2014-07-12
285,Sistema,262607200,2014-07-13
286,Sistema,291113500,2014-07-14
287,Sistema,249558000,2014-07-15
288,Sistema,195849400,2014-07-16
289,Sistema,188246300,2014-07-17
290,Sistema,228722500,2014-07-18
291,Sistema,166991800,2014-07-19
292,Sistema,174812100,2014-07-20
293,Sistema,144116900,2014-07-21
294,Sistema,169709900,2014-07-22
295,Sistema,213821900,2014-07-23
296,Sistema,179371300,2014-07-24
297,Sistema,158195600,2014-07-25
298,Sistema,148152800,2014-07-26
299,Sistema,141572500,2014-07-27
300,Sistema,115943600,2014-07-28
301,Sistema,107614700,2014-07-29
302,Sistema,110097600,2014-07-30
303,Sistema,115135000,2014-07-31
304,Sistema,90668900,2014-08-01
305,Sistema,197635000,2014-08-02
306,Sistema,134254400,2014-08-03
307,Sistema,109790400,2014-08-04
308,Sistema,98184900,2014-08-05
309,Sistema,155326700,2014-08-06
310,Sistema,202101500,2014-08-07
311,Sistema,172913900,2014-08-08
312,Sistema,187137100,2014-08-09
313,Sistema,183870700,2014-08-10
314,Sistema,165895400,2014-08-11
315,Sistema,195292000,2014-08-12
316,Sistema,148491300,2014-08-13
317,Sistema,170502500,2014-08-14
318,Sistema,121057800,2014-08-15
319,Sistema,133588700,2014-08-16
320,Sistema,160255700,2014-08-17
321,Sistema,194611100,2014-08-18
322,Sistema,171154300,2014-08-19
323,Sistema,119253900,2014-08-20
324,Sistema,110262200,2014-08-21
325,Sistema,95629300,2014-08-22
326,Sistema,121971100,2014-08-23
327,Sistema,109851000,2014-08-24
328,Sistema,137836800,2014-08-25
329,Sistema,183612400,2014-08-26
330,Sistema,147903100,2014-08-27
331,Sistema,170423800,2014-08-28
332,Sistema,139387500,2014-08-29
333,Sistema,98489600,2014-08-30
334,Sistema,96718200,2014-08-31
335,Sistema,78317800,2014-09-01
336,Sistema,100381600,2014-09-02
337,Sistema,127952200,2014-09-03
338,Sistema,135984600,2014-09-04
339,Sistema,97318100,2014-09-05
340,Sistema,133337800,2014-09-06
341,Sistema,187392500,2014-09-07
342,Sistema,143378100,2014-09-08
343,Sistema,118099200,2014-09-09
344,Sistema,106334000,2014-09-10
345,Sistema,173477800,2014-09-11
346,Sistema,166645400,2014-09-12
347,Sistema,238010300,2014-09-13
348,Sistema,211557000,2014-09-14
349,Sistema,169930800,2014-09-15
350,Sistema,138315500,2014-09-16
351,Sistema,147662400,2014-09-17
352,Sistema,117861500,2014-09-18
353,Sistema,111815500,2014-09-19
354,Sistema,191237300,2014-09-20
355,Sistema,138351200,2014-09-21
356,Sistema,138458700,2014-09-22
357,Sistema,135142300,2014-09-23
358,Sistema,119591600,2014-09-24
359,Sistema,128524400,2014-09-25
360,Sistema,145728400,2014-09-26
361,Sistema,119122600,2014-09-27
362,Sistema,95848700,2014-09-28
363,Sistema,96340200,2014-09-29
364,Sistema,79528900,2014-09-30
365,Sistema,79273500,2014-10-01
366,Sistema,74860000,2014-10-02
367,Sistema,89261600,2014-10-03
