,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
18,Sistema,Sistema,5951312.37,5688543.84,5550964.78,5471138.07,5581874.34,5708532.73,5905167.95,6451146.29,6972450.94,7318790.25,7618525.25,7942335.19,7843425.78,7689895.46,7491515.16,7415508.32,7336806.43,7578083.83,8557973.25,8476525.78,8150367.43,7639277.56,6962293.21,6252631.23,2013-10-19
19,Sistema,Sistema,5795220.8,5497966.72,5282989.04,5217628.85,5177026.08,5073129.23,5036731.92,5422409.44,5844227.63,6148071.84,6397333.57,6578783.1,6690828.17,6580062.93,6441518.46,6332299.01,6255138.42,6718665.41,7811229.26,7949472.59,7787987.63,7344756.44,6668269.66,5981413.84,2013-10-20
20,Sistema,Sistema,5601036.15,5405506.29,5278760.61,5242772.37,5488218.17,6148104.36,6373408.84,6781200.77,7319563.94,7614054.68,7926987.62,8265886.7,8039134.95,8013972.63,8148526.2,8159435.81,8098972.65,8245549.9,9039355.15,8939450.38,8571528.43,7912808.68,7018517.41,6129211.16,2013-10-21
21,Sistema,Sistema,5667106.11,5459756.61,5367557.4,5328941.13,5589833.51,6218210.73,6477187.24,6811274.88,7292893.75,7517147.85,7779967.81,8050577.7,7860073.24,7814225.29,8001450.88,8034893.79,8020888.1,8205162.72,9075865.66,8967229.95,8553851.16,7948648.48,7068121.93,6198317.99,2013-10-22
22,Sistema,Sistema,5718985.49,5524470.9,5397869.03,5411710.55,5716611.05,6348877.95,6572528.48,6939817.38,7400744.41,7711989.06,7989503.28,8285565.98,8064239.1,8066941.03,8261287.99,8341967.28,8291976.97,8539389.42,9199186.14,9061321.96,8645779.43,8023916.12,7174413.87,6312034.75,2013-10-23
23,Sistema,Sistema,5851898.28,5628131.67,5489901.52,5467107.95,5724955.88,6279039.5,6501825.91,6894766.47,7418678.65,7690723.47,8004882.72,8273907.09,8144315.51,8121241.57,8218475.91,8208685.48,8151203.15,8403986.01,9224058.32,9074738.26,8722432.51,8104219.54,7287813.65,6378546.11,2013-10-24
24,Sistema,Sistema,5900295.25,5677735.87,5532395.45,5487749.97,5754185.82,6355427.11,6560343.92,6956943.02,7484928.59,7782342.79,8105970.38,8397378.5,8227787.95,8226870.08,8395858.67,8362412.85,8250569.68,8386194.11,9190205.85,9076930.51,8694951.45,8160068.34,7377385.82,6501518.03,2013-10-25
25,Sistema,Sistema,6002593.92,5774513.17,5615196.87,5556222.86,5645486.3,5769156.71,6007907.07,6520926.03,7105205.62,7481100.99,7803783.58,7971455.9,7881105.97,7604286.86,7426228.69,7248013.49,7150516.55,7470483.88,8424550.82,8363346.42,8018581.44,7537999.22,6848125.05,6316856.52,2013-10-26
26,Sistema,Sistema,5914192.19,5595052.53,5514827.28,5370775.7,5361473.42,5329199.2,5138501.14,5620767.19,6112211.44,6420003.57,6567687.58,6715933.13,6762602.79,6669361.45,6501740.78,6397217.84,6361964.87,6768955.38,7879464.95,7979957.84,7747913.47,7300216.21,6698262.84,6041922.3,2013-10-27
27,Sistema,Sistema,5668159.81,5376184.72,5270974.52,5269573.35,5524605,6153734.12,6389404.05,6815388.71,7396287.7,7777361.76,8102599.39,8450633.58,8268439.69,8354421.95,8532155.67,8522109.53,8434818.88,8535857.54,9374194.28,9330933.53,8946587.16,8237199.04,7331720.75,6488768.86,2013-10-28
28,Sistema,Sistema,6005563.91,5778210.12,5642481.07,5630226.62,5876165.43,6523131.36,6745714.96,7119399.55,7608762.44,7864677.55,8153305.16,8569682.77,8371437.85,8377686.43,8493895.7,8519771.75,8458450.77,8690684.07,9418808.43,9321112.81,8941437.46,8188900.92,7352254.35,6473345.64,2013-10-29
29,Sistema,Sistema,5961463.05,5727777.65,5594662.75,5552590.61,5807635.79,6431684.16,6635118.54,6989576.8,7495344.13,7778937.79,8100634.67,8486912.96,8325410.39,8284040.31,8386978.42,8461260.67,8412222.72,8515174.58,9306592.03,9197540.56,8818284.95,8166193.01,7280438.6,6423474.25,2013-10-30
30,Sistema,Sistema,5981132.63,5721958.71,5606175.77,5579774.86,5814666.3,6404063.44,6646210.54,7057639.63,7478864.22,7680582.07,8046894.56,8333743.78,8169475.1,8159094.53,8265893.78,8223456.13,8032370.62,8117091.46,8703203.73,8501155.07,8232161.38,7787898.07,7108053.49,6275952.59,2013-10-31
31,Sistema,Sistema,5796515.42,5598042.84,5470610.86,5458458.31,5651963.46,6196683.21,6409403.16,6801733.5,7290137.15,7641448.29,7944200.26,8145948.01,7899093.74,7871198.14,7957142.49,7992310.37,7915129.56,8245388.09,9037893.23,8887855.16,8484043.92,7886081.37,7142662.73,6318352.85,2013-11-01
32,Sistema,Sistema,5886069.96,5648479.5,5541594.09,5460908.71,5497285.34,5644472.62,5905481.12,6438910.68,7006940.93,7302824.72,7624513.31,7785580.98,7666876.95,7461649.64,7266349.96,7136435.87,7039761.87,7358754.19,8295483.27,8159988.52,7853775.28,7306318.38,6668514.74,6021738.77,2013-11-02
33,Sistema,Sistema,5694365.9,5419420.17,5235010.59,5149286.02,5139775.03,5094218.03,4993041.52,5366525.67,5731668.18,6015318.66,6265635.93,6414224.49,6472601.49,6359370.35,6225978.84,6128519.2,6065834.19,6444913.2,7343712.51,7427368.66,7199749.83,6811505.71,6291387.91,5824601.01,2013-11-03
34,Sistema,Sistema,5451049.8,5194785.79,5013437.02,4957229.08,4997696.17,5034875.03,5021781.14,5333730.77,5832264.92,6261637.41,6575965.31,6808082.48,6836624.29,6707201.73,6538139.03,6433702.74,6501839.8,7027287.23,7995483.99,7996739.28,7715879.12,7150196.09,6442758.42,5739995.67,2013-11-04
35,Sistema,Sistema,5415819.52,5204645.54,5146369.33,5137488.76,5396229.07,6098961.4,6333272.96,6699697.39,7236238.28,7631911.82,7913843.4,8251791.23,8108537.82,8053192.84,8204302.35,8231495.44,8217120.12,8507082.95,9145501.32,9012185.1,8635757.83,7969984.41,7092814.53,6207209.62,2013-11-05
36,Sistema,Sistema,5712302.83,5513805.58,5425388.5,5404070.38,5669472.31,6266890.57,6495723.84,6836402.07,7329564.9,7651473.23,7943398.3,8158581.92,8042973.65,8013795.03,8062141.71,7995311.31,8100294.38,8380098,9072378.38,8933196.68,8505793.42,7813752.37,6907684.31,6118686.74,2013-11-06
